년월,kedi학교코드,kedi단과대,kedi단과대명,kedi학과코드,kedi학과,주야간구분,학과특성구분,단과대학코드,캠퍼스구분,학교구분,학교종류,설립구분,지역코드,전공코드,교육부계열,대학코드,대학,학과코드,학과,학기코드,학기,과목구분,성적점수구분코드,성적점수구분,학생수
20140401,53018000,45,사범대학,U03010100010,교육학과,A,10,0234,1,U,E,3,11,03,01,0234,사범대학,0236,교육학과,2R,2학기,02,05,C+,41
20140401,53018000,9,공과대학,U05020600099,사회환경시스템공학과,A,10,0217,1,U,E,3,11,05,03,0217,공과대학,4392,사회환경시스템공학과,2R,2학기,02,08,D,3
20140401,53018000,83,인문대학,U01011200016,어문학부,A,10,0251,2,U,E,3,44,01,01,0251,인문대학,0261,어문학부,2R,2학기,02,04,B,119
20140401,53018000,83,인문대학,U01010600018,영어영문학과,A,10,0251,2,U,E,3,44,01,01,0251,인문대학,0255,영어영문학과,2R,2학기,02,06,C,23
20140401,53018000,35,문과대학,U01010400019,한문학과,A,10,0143,1,U,E,3,11,01,01,0143,문과대학,0159,한문학과,2R,2학기,02,07,D+,4
20140401,53018000,42,보건과학대학,U06040100031,환경보건학과,A,10,4669,1,U,E,3,11,06,02,4669,보건과학대학,4677,환경보건학과,1R,1학기,02,08,D,2
20140401,53018000,54,생명과학대학,U05030200119,식품공학부,A,10,4652,1,U,E,3,11,05,02,4652,생명과학대학,4820,식품공학부,1R,1학기,02,06,C,13
20140401,53018000,42,보건과학대학,U05030200045,식품영양학과,A,10,4669,1,U,E,3,11,05,02,4669,보건과학대학,4676,식품영양학과,1R,1학기,02,06,C,5
20140401,53018000,45,사범대학,U03050600009,체육교육과,A,10,0234,1,U,E,3,11,03,05,0234,사범대학,0237,체육교육과,1R,1학기,02,06,C,29
20140401,53018000,9,공과대학,U04040100010,기계공학과,A,10,0217,1,U,E,3,11,04,03,0217,공과대학,0224,기계공학과,2R,2학기,02,03,B+,19
20140401,53018000,9,공과대학,U04090100031,산업시스템정보공학과,A,10,0217,1,U,E,3,11,04,03,0217,공과대학,3868,산업시스템정보공학과,2R,2학기,02,04,B,1
20140401,53018000,42,보건과학대학,U06040200001,물리치료학과,A,10,4669,1,U,E,3,11,06,02,4669,보건과학대학,4672,물리치료학과,1R,1학기,02,08,D,7
20140401,53018000,12,과학기술대학,U05040100048,정보수학과,A,10,4460,2,U,E,3,44,05,02,4460,과학기술대학,4546,정보수학과,2R,2학기,02,04,B,20
20140401,53018000,12,과학기술대학,U05020100161,바이오시스템공학부,A,10,4460,2,U,E,3,44,05,03,4460,과학기술대학,4461,바이오시스템공학부,2R,2학기,02,04,B,126
20140401,53018000,99,정보통신대학,U04080100092,컴퓨터학과,A,10,3930,1,U,E,3,11,04,03,3930,정보통신대학,3933,컴퓨터학과,2R,2학기,02,06,C,3
20140401,53018000,9,공과대학,U04010100003,건축공학과,A,10,0217,1,U,E,3,11,04,03,0217,공과대학,0223,건축공학과,1R,1학기,02,08,D,1
20140401,53018000,42,보건과학대학,U02030700027,보건행정학과,A,10,4669,1,U,E,3,11,02,01,4669,보건과학대학,4674,보건행정학과,1R,1학기,02,08,D,2
20140401,53018000,9,공과대학,U04090100012,산업경영공학부,A,10,0217,1,U,E,3,11,04,03,0217,공과대학,5320,산업경영공학부,1R,1학기,02,03,B+,180
20140401,53018000,12,과학기술대학,U04080300092,정보과학부,A,10,4460,2,U,E,3,44,04,02,4460,과학기술대학,4632,정보과학부,2R,2학기,02,06,C,47
20140401,53018000,12,과학기술대학,U04080300092,정보과학부,A,10,4460,2,U,E,3,44,04,02,4460,과학기술대학,4632,정보과학부,1R,1학기,02,06,C,78
20140401,53018000,12,과학기술대학,U05040100048,정보수학과,A,10,4460,2,U,E,3,44,05,02,4460,과학기술대학,4546,정보수학과,1R,1학기,02,06,C,9
20140401,53018000,81,이과대학,U05040600010,이과대학,A,10,0209,1,U,E,3,11,05,02,0209,이과대학,4063,이과대학,1R,1학기,02,06,C,92
20140401,53018000,35,문과대학,U01010900004,서어서문학과,A,10,0143,1,U,E,3,11,01,01,0143,문과대학,0158,서어서문학과,2R,2학기,02,09,F,7
20140401,53018000,35,문과대학,U01020400022,한국사학과,A,10,0143,1,U,E,3,11,01,01,0143,문과대학,0148,한국사학과,1R,1학기,02,04,B,5
20140401,53018000,45,사범대학,U03050100002,국어교육과,A,10,0234,1,U,E,3,11,03,01,0234,사범대학,0240,국어교육과,2R,2학기,02,06,C,4
20140401,53018000,35,문과대학,U02030400005,사회학과,A,10,0143,1,U,E,3,11,02,01,0143,문과대학,0152,사회학과,2R,2학기,02,08,D,3
20140401,53018000,83,인문대학,U01020200002,고고미술사학과,A,10,0251,2,U,E,3,44,01,01,0251,인문대학,0258,고고미술사학과,1R,1학기,02,04,B,7
20140401,53018000,45,사범대학,U03050500018,수학교육과,A,10,0234,1,U,E,3,11,03,02,0234,사범대학,0239,수학교육과,1R,1학기,02,08,D,4
20140401,53018000,54,생명과학대학,U05020100033,생명유전공학부,A,10,4652,1,U,E,3,11,05,02,4652,생명과학대학,4706,생명유전공학부,2R,2학기,02,05,C+,1
20140401,53018000,4,간호대학,U06020100004,간호학과,A,10,0231,1,U,E,3,11,06,02,0231,간호대학,0233,간호학과,2R,2학기,02,02,A,85
20140401,53018000,77,의과대학,U06010100002,의예과,A,10,0226,1,U,E,3,11,06,02,0226,의과대학,0228,의예과,2R,2학기,02,03,B+,107
20140401,53018000,77,의과대학,U06010100002,의예과,A,10,0226,1,U,E,3,11,06,02,0226,의과대학,0228,의예과,2R,2학기,02,04,B,55
